Date,Total Crimes,Gun Crimes,Assault,Arson,Auto Theft,Burglary,Homicide,Larceny,Rape,Robbery,Shooting
1/1/20,125,16,42,1,12,15,0,36,0,17,2
1/2/20,108,15,37,0,6,18,2,32,1,10,2
1/3/20,121,13,35,0,10,13,0,48,1,12,2
1/4/20,89,9,29,0,17,11,0,22,0,10,0
1/5/20,75,9,23,0,9,6,1,29,0,6,1
1/6/20,95,14,32,0,9,9,1,33,0,10,1
1/7/20,107,16,31,0,6,13,1,35,2,18,1
1/8/20,89,11,25,0,5,12,0,35,0,12,0
1/9/20,81,8,21,0,6,10,1,36,0,6,1
1/10/20,131,12,35,1,12,12,0,54,0,17,0
1/11/20,132,36,34,0,9,11,5,46,0,21,6
1/12/20,114,18,30,0,4,9,0,53,0,14,4
1/13/20,115,16,30,0,12,14,0,42,0,15,2
1/14/20,126,16,40,0,10,13,2,42,0,18,1
1/15/20,112,16,32,0,10,10,2,43,0,14,1
1/16/20,116,11,36,0,8,14,0,44,1,13,0
1/17/20,87,8,25,0,10,13,1,29,1,7,1
1/18/20,104,13,33,0,11,8,2,32,1,17,0
1/19/20,89,8,50,0,4,7,0,19,0,8,1
1/20/20,98,8,23,0,9,18,0,35,2,9,2
1/21/20,109,16,30,0,12,9,3,39,1,13,2
1/22/20,92,6,25,0,8,12,0,36,0,11,0
1/23/20,88,14,27,0,10,3,1,31,1,14,1
1/24/20,128,19,41,0,11,9,0,46,1,18,2
1/25/20,84,15,23,0,8,11,0,22,0,19,1
1/26/20,96,12,32,1,12,8,1,32,0,9,1
1/27/20,107,11,32,0,7,17,0,34,0,17,0
1/28/20,115,10,36,0,10,12,1,47,0,8,1
1/29/20,120,8,35,0,10,21,0,43,1,9,1
1/30/20,111,8,34,0,11,10,2,42,2,10,0
1/31/20,105,8,32,1,11,13,0,39,0,8,1
2/1/20,118,6,39,0,11,12,0,43,1,12,0
2/2/20,100,12,34,0,8,5,1,32,2,17,1
2/3/20,121,10,37,0,12,8,1,46,0,15,2
2/4/20,87,8,24,0,7,11,0,30,0,15,0
2/5/20,106,9,27,0,11,14,1,42,0,10,1
2/6/20,99,4,29,0,6,15,0,37,1,11,0
2/7/20,121,17,42,0,11,18,3,37,0,7,3
2/8/20,111,26,34,0,12,12,0,30,0,16,7
2/9/20,102,10,44,1,5,11,1,28,1,9,2
2/10/20,114,13,35,0,6,15,7,40,0,10,1
2/11/20,124,8,34,0,9,14,0,57,0,9,1
2/12/20,109,14,41,1,7,15,1,34,0,7,3
2/13/20,98,14,20,0,9,9,1,46,0,11,2
2/14/20,132,18,40,0,13,14,0,49,0,16,0
2/15/20,102,17,45,0,10,6,0,27,2,8,4
2/16/20,97,5,35,0,8,6,1,35,1,11,0
2/17/20,127,16,48,1,7,9,0,46,0,12,4
2/18/20,109,23,41,0,7,12,0,31,0,12,6
2/19/20,103,13,20,0,11,15,1,39,0,15,2
2/20/20,88,14,28,1,7,10,0,27,0,14,1
2/21/20,106,8,22,0,11,19,0,39,0,15,0
2/22/20,105,8,32,0,7,9,0,46,1,10,0
2/23/20,99,14,35,0,8,9,2,34,0,9,2
2/24/20,104,21,27,0,7,6,1,32,4,25,2
2/25/20,77,10,28,0,7,4,0,29,0,9,0
2/26/20,91,5,37,0,5,7,1,34,0,7,0
2/27/20,93,4,28,0,14,12,1,33,0,7,0
2/28/20,114,18,22,1,10,14,2,46,0,18,1
2/29/20,93,11,21,1,13,12,0,31,1,14,0
3/1/20,76,4,17,2,6,11,0,36,0,4,0
3/2/20,116,21,43,0,6,14,0,36,2,10,5
3/3/20,117,12,40,1,16,14,0,31,1,12,2
3/4/20,86,5,33,1,14,11,1,21,2,3,0
3/5/20,103,8,37,0,10,12,0,33,0,10,1
3/6/20,108,9,40,0,10,15,0,33,0,10,0
3/7/20,97,12,35,1,9,12,1,26,1,11,1
3/8/20,119,18,40,0,9,14,0,36,1,19,0
3/9/20,100,4,34,0,9,14,1,35,0,7,0
3/10/20,113,17,40,1,10,10,1,31,0,19,1
3/11/20,99,8,32,0,6,12,0,37,0,12,0
3/12/20,97,7,37,0,10,10,0,30,0,10,0
3/13/20,118,19,38,0,4,15,1,39,2,18,1
3/14/20,118,13,53,0,9,12,0,27,0,15,2
3/15/20,97,15,32,0,11,7,2,27,1,14,3
3/16/20,101,19,34,0,5,13,2,35,0,10,2
3/17/20,123,46,60,0,8,5,1,26,0,16,7
3/18/20,76,13,24,0,7,10,0,19,0,12,4
3/19/20,71,5,21,1,5,13,0,22,2,7,0
3/20/20,112,23,38,1,6,8,0,34,1,19,5
3/21/20,92,17,40,1,10,5,0,17,0,15,4
3/22/20,67,5,37,0,8,3,0,12,1,5,1
