Date,Total Crimes,Assault,Battery,Burglary,Criminal Damage,Firearm,Homicide,Juvenile,Narcotics,Nuisance,Other,Robbery,Sexual Assault,Theft,Vice
1/1/20,180,6,15,17,22,30,1,2,3,0,38,2,0,44,0
1/2/20,126,6,10,26,11,5,0,1,16,0,13,2,0,35,1
1/3/20,130,5,11,16,20,6,0,0,5,1,23,2,0,40,1
1/4/20,83,4,4,14,4,9,1,0,10,0,13,0,0,24,0
1/5/20,108,6,8,15,9,3,3,1,3,2,21,1,1,35,0
1/6/20,125,5,6,23,4,3,1,0,9,0,29,0,1,44,0
1/7/20,139,4,9,21,7,7,0,0,13,1,29,6,1,42,0
1/8/20,136,10,8,21,15,7,1,1,11,0,17,1,0,43,1
1/9/20,135,5,7,21,6,6,0,1,12,2,31,1,0,42,1
1/10/20,137,3,10,31,13,3,1,0,4,0,25,1,0,46,0
1/11/20,100,5,9,11,5,8,2,0,4,0,19,1,0,35,1
1/12/20,104,5,15,8,8,6,3,2,5,0,24,2,1,25,0
1/13/20,108,7,8,28,7,4,1,2,6,2,10,0,1,32,0
1/14/20,121,11,9,11,7,7,1,0,16,2,24,2,3,27,1
1/15/20,120,6,8,19,10,7,0,1,12,1,24,1,1,29,1
1/16/20,128,7,10,13,9,7,3,2,8,2,34,2,1,29,1
1/17/20,122,7,11,23,15,2,0,2,5,1,22,1,0,32,1
1/18/20,121,12,18,14,9,3,2,0,8,1,19,1,1,30,2
1/19/20,104,9,13,18,11,1,2,1,9,2,20,2,0,16,0
1/20/20,136,9,9,16,10,7,2,1,19,2,25,3,1,30,1
1/21/20,112,6,13,11,11,8,2,2,6,1,16,1,1,32,2
1/22/20,113,4,5,12,6,7,1,3,14,1,23,0,1,35,1
1/23/20,135,11,13,16,7,6,3,1,16,1,38,0,1,21,1
1/24/20,132,4,12,18,12,1,1,0,3,0,32,0,0,46,3
1/25/20,116,6,19,14,6,6,1,2,10,3,20,1,1,27,0
1/26/20,84,6,10,11,8,6,3,0,2,2,9,0,1,26,0
1/27/20,133,3,10,23,6,14,1,1,18,4,20,2,0,30,1
1/28/20,127,4,11,18,7,4,0,2,18,3,27,1,1,29,2
1/29/20,98,5,9,7,2,2,0,2,16,3,23,2,0,26,1
1/30/20,122,3,2,10,3,7,0,1,15,0,46,1,0,34,0
1/31/20,121,6,12,12,6,6,0,0,7,2,39,1,1,29,0
2/1/20,107,5,10,13,11,3,3,2,6,4,19,4,0,26,1
2/2/20,95,8,17,8,7,6,3,0,2,3,16,2,0,23,0
2/3/20,107,7,7,10,7,6,0,1,23,1,19,0,1,24,1
2/4/20,113,11,12,10,6,5,2,1,18,2,18,1,0,27,0
2/5/20,117,7,13,13,4,1,0,0,7,1,27,0,1,43,0
2/6/20,91,3,3,11,14,3,1,1,5,1,27,0,0,22,0
2/7/20,137,13,8,16,13,4,1,1,7,3,33,1,0,35,2
2/8/20,98,8,14,17,8,2,1,1,3,1,19,3,1,20,0
2/9/20,98,12,10,16,9,3,0,0,6,3,16,2,0,21,0
2/10/20,161,11,17,30,14,9,1,2,9,1,20,1,0,44,2
2/11/20,123,6,11,19,5,4,0,2,14,3,25,2,0,31,1
2/12/20,126,6,7,15,10,6,0,0,20,2,25,2,0,32,1
2/13/20,91,3,6,10,7,3,2,1,5,1,25,1,1,26,0
2/14/20,92,4,9,8,8,3,1,0,8,2,28,1,1,19,0
2/15/20,97,7,15,10,10,1,1,0,5,3,18,3,0,24,0
2/16/20,101,6,10,15,11,9,2,3,3,3,16,3,0,19,0
2/17/20,109,6,7,6,9,6,3,2,17,1,24,0,0,28,0
2/18/20,143,15,15,19,10,8,0,3,12,3,23,0,1,33,1
2/19/20,128,5,6,12,5,5,4,1,19,3,27,5,1,34,1
2/20/20,85,5,4,6,8,0,0,4,5,2,28,1,1,21,0
2/21/20,105,6,14,5,9,1,3,0,2,4,30,2,0,27,1
2/22/20,157,5,30,11,7,6,2,8,3,2,57,0,0,26,0
2/23/20,81,8,8,13,9,3,2,1,0,1,7,1,0,28,0
2/24/20,101,5,6,14,9,3,0,1,11,2,16,3,0,30,1
2/25/20,110,3,11,16,11,3,0,0,12,5,12,2,0,35,0
2/26/20,124,10,5,12,10,8,0,1,21,3,27,3,0,23,0
2/27/20,99,7,4,6,4,9,0,1,10,2,31,1,0,24,0
2/28/20,119,2,6,15,10,3,1,0,4,0,39,0,1,38,0
2/29/20,101,16,10,7,8,6,2,2,6,0,24,0,1,19,0
3/1/20,68,5,9,6,10,4,1,0,2,3,9,1,2,14,2
3/2/20,122,4,9,17,8,4,0,2,21,3,19,1,0,34,0
3/3/20,109,4,1,17,9,3,0,1,14,2,24,1,0,32,1
3/4/20,96,8,6,8,14,7,2,0,15,2,8,0,2,24,0
3/5/20,121,14,12,8,9,5,2,3,5,1,30,1,0,30,1
3/6/20,94,5,3,11,4,2,0,1,2,2,25,1,3,35,0
3/7/20,96,2,6,8,10,0,0,0,3,5,37,1,0,24,0
3/8/20,95,5,8,3,14,3,0,0,7,4,22,0,1,28,0
3/9/20,94,3,7,9,8,2,0,0,19,2,16,0,0,27,1
3/10/20,126,7,10,14,9,8,2,0,21,1,23,1,0,28,2
3/11/20,112,3,11,12,10,8,6,2,5,2,15,1,1,36,0
3/12/20,103,4,10,11,7,1,3,0,5,1,37,1,0,22,1
3/13/20,133,6,13,9,15,8,2,3,9,2,35,1,0,30,0
3/14/20,93,7,14,3,4,5,1,1,6,4,24,2,1,21,0
3/15/20,109,11,17,13,10,6,2,0,6,2,23,0,1,18,0
3/16/20,106,3,10,14,7,4,0,3,16,3,18,2,0,25,1
3/17/20,93,6,7,17,10,2,0,1,3,0,15,1,1,30,0
3/18/20,88,5,7,15,11,7,0,1,6,1,12,0,0,22,1
3/19/20,119,9,9,11,16,6,3,0,6,1,25,5,0,27,1
3/20/20,71,5,9,10,8,5,1,2,1,0,8,1,0,21,0
3/21/20,85,3,8,10,9,4,1,2,6,0,17,1,1,22,1
3/22/20,68,7,4,12,9,7,2,0,4,0,8,2,0,13,0
3/23/20,66,9,5,11,6,1,1,0,0,0,11,0,0,21,1
3/24/20,108,7,8,17,12,2,3,0,4,1,19,0,0,35,0
3/25/20,110,6,7,17,9,3,2,1,9,0,16,1,0,38,1
3/26/20,106,7,8,14,13,2,0,1,8,1,13,2,1,33,3
3/27/20,72,6,5,15,8,3,1,0,0,1,11,0,0,22,0
3/28/20,83,4,10,8,3,2,0,1,4,2,29,0,1,19,0
3/29/20,98,7,10,21,18,7,2,2,0,1,8,2,0,19,0
3/30/20,112,4,9,16,15,10,3,2,5,6,10,2,1,27,2
3/31/20,83,4,6,10,11,5,2,0,5,4,14,0,0,21,1
4/1/20,90,6,6,6,10,6,2,1,5,2,8,3,1,34,0
4/2/20,75,3,7,9,10,4,1,2,4,0,6,1,0,28,0
4/3/20,88,3,8,7,5,8,1,0,7,2,20,5,0,22,0
4/4/20,72,5,4,8,12,4,2,1,5,0,15,0,0,16,0
4/5/20,90,6,11,11,13,6,1,1,8,2,6,0,1,24,0
