Date,TotalCrimes,GunCrimes,Arson,Assault,Battery,Burglary,CriminalDamage,Criminal Sexual Assault,CriminalTrespass,Deceptive Practoce,Homicide,Interference with Public Officer,Motor Vehicle Theft,Narcotics,Offense Involving Children,OtherOffense,Public Peace Violation,Robbery,SexOffense,Theft,WeaponsViolation
1/1/18,870,51,0,38,160,32,66,16,10,91,4,2,65,17,95,61,2,30,28,130,20
1/2/18,558,33,0,28,89,20,46,2,17,59,0,1,51,25,1,49,3,28,0,128,9
1/3/18,572,40,1,39,81,19,38,3,17,54,1,3,25,34,0,38,3,37,0,159,12
1/4/18,601,39,2,42,102,31,47,0,23,47,0,4,46,22,6,43,2,32,0,134,15
1/5/18,661,45,0,53,107,24,63,3,16,57,1,2,44,28,7,44,1,34,3,164,9
1/6/18,585,42,0,48,131,28,51,5,20,37,3,3,34,21,3,41,5,24,2,111,13
1/7/18,533,41,0,39,120,23,55,0,16,29,2,2,33,18,5,29,0,41,0,108,8
1/8/18,618,43,0,40,98,28,54,1,23,39,0,3,28,43,5,36,3,37,2,164,13
1/9/18,652,33,2,46,98,46,47,1,22,54,4,1,40,48,4,33,4,32,1,158,10
1/10/18,714,34,0,49,112,32,75,1,28,53,2,3,26,45,10,40,2,32,4,182,10
1/11/18,699,40,1,64,101,36,90,1,18,55,3,6,22,35,5,53,3,25,3,164,13
1/12/18,706,50,0,46,111,28,78,4,17,62,1,3,38,40,7,41,2,42,3,164,18
1/13/18,617,39,1,45,121,31,59,6,18,51,0,4,35,26,2,42,0,30,0,134,10
1/14/18,563,41,1,33,137,18,58,2,18,30,1,2,30,22,5,39,3,32,1,118,13
1/15/18,529,29,0,35,84,27,45,7,13,46,0,1,34,35,7,38,3,21,0,120,12
1/16/18,613,29,1,48,111,25,43,5,16,57,0,1,42,33,4,44,4,24,0,146,6
1/17/18,646,35,1,43,118,34,60,7,15,44,0,5,37,39,11,41,2,19,2,148,15
1/18/18,624,33,1,45,91,35,58,1,23,56,2,1,31,31,5,38,4,22,2,162,14
1/19/18,707,41,1,35,111,42,74,4,16,62,0,4,27,49,3,48,0,25,3,179,19
1/20/18,725,46,1,52,132,33,67,3,17,36,2,3,21,48,3,55,4,34,0,194,14
1/21/18,717,47,2,59,142,32,81,3,19,47,3,3,25,41,3,29,3,36,5,168,12
1/22/18,724,52,1,52,103,32,74,6,21,47,3,2,29,37,5,50,5,29,4,197,22
1/23/18,717,45,1,57,113,48,65,1,21,59,1,4,29,42,5,42,1,34,0,177,13
1/24/18,612,22,0,45,107,35,56,4,20,49,2,1,24,42,3,43,3,20,1,144,7
1/25/18,640,34,1,52,126,25,72,4,9,40,0,3,23,35,4,42,5,26,0,160,12
1/26/18,761,48,1,55,140,40,88,3,27,53,1,2,23,45,8,44,5,27,2,168,18
1/27/18,754,46,0,43,146,30,76,6,18,58,2,4,26,45,4,45,3,26,2,189,21
1/28/18,669,43,3,50,157,29,65,6,18,43,0,3,25,37,5,41,3,27,2,139,15
1/29/18,652,25,0,45,105,24,57,3,16,68,0,4,29,23,3,47,2,24,2,187,8
1/30/18,634,34,3,42,113,32,56,1,24,42,1,3,37,30,4,46,4,20,0,157,17
1/31/18,708,37,1,48,118,32,66,1,22,46,4,3,27,44,7,44,5,28,2,194,12
2/1/18,720,24,0,65,86,28,56,5,22,90,0,2,25,34,12,75,2,18,4,182,8
2/2/18,671,34,3,48,98,31,44,2,24,81,2,2,32,50,13,38,0,31,2,158,8
2/3/18,627,32,2,32,119,22,68,5,19,54,4,6,26,41,3,52,5,28,1,127,8
