Date,Total Crimes,Gun Crimes,Arson,Assault,Battery,Burglary,Criminal Damage,Criminal Sexual Assault,Criminal Trespass,Deceptive Practice,Homicide,Interference with Public Officer,Motor Vehicle Theft,Narcotics,Offense Involving Children,Other Offense,Public Peace Violation,Robbery,Sex Offense,Theft,Weapons Violation
1/1/19,1009,74,0,63,213,29,124,14,16,115,0,7,33,36,37,76,5,26,17,152,39
1/2/19,650,38,1,43,105,33,61,4,16,59,0,3,30,48,0,44,2,23,3,152,20
1/3/19,750,42,0,52,112,37,82,1,20,64,2,2,24,53,2,49,3,32,2,196,13
1/4/19,765,51,0,51,105,38,82,3,13,57,0,4,27,66,3,54,7,37,1,182,20
1/5/19,789,42,1,37,173,31,67,5,23,56,1,1,17,75,6,45,4,29,5,175,24
1/6/19,663,33,1,47,143,28,77,5,18,45,2,6,15,39,6,31,3,20,1,157,17
1/7/19,674,17,1,54,108,41,71,1,31,48,2,2,19,35,7,56,1,15,2,167,9
1/8/19,700,39,1,55,124,39,81,5,19,60,0,3,9,46,3,37,2,25,3,169,13
1/9/19,629,32,2,49,100,22,48,4,18,58,0,1,21,55,4,39,3,19,0,167,18
1/10/19,684,39,1,42,113,38,80,7,16,52,0,4,15,45,10,52,5,18,2,158,21
1/11/19,784,42,1,45,117,38,74,1,24,61,4,2,27,64,8,58,8,27,4,201,14
1/12/19,669,28,2,55,124,26,54,10,11,48,1,3,21,47,6,50,1,17,1,165,14
1/13/19,572,37,1,40,130,29,52,1,22,17,0,3,20,36,8,37,4,23,2,117,18
1/14/19,635,41,0,62,111,18,54,4,27,45,0,5,27,30,2,39,0,22,3,162,19
1/15/19,695,38,0,51,124,25,57,4,26,67,1,5,28,45,3,52,2,23,5,159,9
1/16/19,699,39,1,54,108,28,49,2,23,56,0,2,23,55,6,65,2,31,0,173,16
1/17/19,650,36,2,55,107,17,51,1,24,58,0,1,22,37,5,50,2,24,5,165,14
1/18/19,666,47,3,54,114,33,53,2,21,56,0,2,30,36,4,48,2,22,0,164,21
1/19/19,518,40,0,25,107,21,52,4,20,41,3,5,14,30,3,30,2,21,4,114,17
1/20/19,493,18,1,43,109,13,48,8,15,32,1,5,19,23,3,45,3,16,2,100,7
1/21/19,555,32,1,42,78,22,55,3,17,37,0,5,23,42,2,49,2,24,3,136,10
1/22/19,623,30,1,48,111,31,40,4,24,54,1,3,20,45,9,42,2,19,2,149,7
1/23/19,660,29,0,46,97,28,59,3,21,34,0,4,19,81,4,44,2,24,2,177,10
1/24/19,605,24,1,44,110,20,54,7,21,45,0,3,21,39,9,44,6,21,5,137,12
1/25/19,584,35,0,35,109,18,39,5,17,49,1,2,17,50,7,47,4,18,2,140,15
1/26/19,530,32,0,34,106,19,57,4,13,31,0,5,31,40,6,37,1,14,1,117,11
1/27/19,522,34,0,63,103,19,28,2,9,35,0,0,22,38,5,39,3,15,2,119,14
1/28/19,521,21,0,50,109,20,39,1,10,48,2,1,19,36,4,51,4,23,2,94,6
1/29/19,492,20,0,50,84,14,35,3,11,37,1,1,29,34,7,33,3,9,4,128,8
1/30/19,341,11,0,26,83,15,25,4,6,28,0,1,25,9,1,36,0,10,4,61,4
1/31/19,458,21,0,43,82,7,46,4,11,33,1,3,41,15,5,46,0,11,2,101,6
2/1/19,747,26,2,46,89,29,68,10,16,87,1,6,34,59,9,81,4,20,9,161,9
2/2/19,721,31,1,51,126,26,75,4,16,47,1,5,23,55,8,58,2,13,3,185,13
2/3/19,591,51,0,60,138,14,57,4,14,27,3,3,24,30,4,38,6,22,2,119,19
2/4/19,732,33,0,65,129,34,85,8,28,56,0,0,19,40,8,39,5,14,5,180,14
2/5/19,650,29,3,57,104,31,59,3,13,40,1,5,21,46,6,57,3,10,2,165,20
2/6/19,634,31,1,57,122,28,57,2,21,35,2,5,20,49,5,51,2,17,2,148,5
2/7/19,670,23,0,62,122,26,64,1,15,50,0,5,19,47,5,40,8,13,9,171,12
2/8/19,642,18,0,38,99,24,56,5,19,54,0,3,31,62,2,43,1,15,4,169,7
2/9/19,755,35,2,42,138,20,84,6,27,48,2,3,23,61,8,60,5,17,3,183,15
2/10/19,638,42,3,46,142,24,70,6,7,40,3,1,21,37,6,42,4,16,5,143,20
2/11/19,623,34,1,42,101,37,53,0,13,49,0,6,26,41,7,38,2,24,5,154,20
2/12/19,664,31,1,62,116,28,61,3,20,55,0,5,25,48,3,44,3,16,1,158,11
2/13/19,642,28,0,57,116,29,52,1,15,48,2,6,24,44,10,53,6,17,5,147,9
2/14/19,742,44,2,69,153,24,56,3,17,55,2,1,24,46,6,68,4,22,1,167,18
2/15/19,737,29,2,64,120,24,64,5,22,62,0,3,25,57,8,62,3,11,3,189,11
2/16/19,676,35,0,41,144,19,68,3,14,38,1,5,24,40,3,63,2,16,3,172,17
2/17/19,617,35,1,52,148,15,50,3,19,34,1,6,35,38,3,29,5,19,5,136,15
2/18/19,589,26,0,39,110,21,66,5,14,31,0,4,25,33,9,44,3,12,2,153,17
2/19/19,606,42,1,58,98,25,60,2,15,46,0,5,18,40,13,55,2,18,2,132,10
2/20/19,630,26,1,43,115,25,59,1,17,52,0,4,30,42,5,49,3,26,5,141,10
2/21/19,696,36,0,56,122,24,58,4,19,52,2,6,14,44,12,49,4,25,6,181,13
2/22/19,707,43,1,52,121,34,55,3,16,63,1,6,26,54,6,55,5,22,4,148,27
2/23/19,645,31,2,48,122,21,71,6,16,39,1,2,26,55,9,44,3,20,3,145,11
2/24/19,546,34,2,33,118,16,51,2,28,25,0,2,12,33,7,40,2,23,2,139,10
2/25/19,595,26,1,38,109,16,54,1,13,44,1,3,28,44,7,47,7,16,1,149,13
2/26/19,606,21,1,57,111,21,52,1,22,45,0,3,16,31,4,58,5,16,5,150,6
2/27/19,647,18,1,45,112,22,64,3,20,62,1,4,21,54,4,43,4,21,1,144,11
2/28/19,591,26,0,40,98,14,48,4,21,61,0,3,20,28,8,49,6,16,4,155,14
3/1/19,740,43,1,47,97,23,63,6,12,100,0,4,27,60,12,73,3,20,7,150,25
3/2/19,661,46,0,52,137,25,62,2,17,45,2,5,29,54,4,36,0,20,4,135,27
3/3/19,551,32,1,46,129,16,52,8,10,41,2,7,26,37,4,45,2,15,2,94,10
3/4/19,543,22,2,38,107,13,44,3,8,48,0,4,23,44,8,58,1,7,1,123,9
3/5/19,539,19,0,45,90,20,44,1,11,50,1,2,23,45,7,41,4,15,5,123,6
3/6/19,626,20,0,50,108,17,61,5,24,60,0,1,21,48,7,51,3,12,0,148,8
3/7/19,605,32,0,35,111,17,58,2,17,52,0,3,16,48,7,47,5,28,3,148,6
3/8/19,712,40,0,53,132,30,74,2,18,60,2,3,31,55,7,38,7,28,5,138,21
3/9/19,616,46,0,43,146,20,68,4,14,29,0,5,21,51,3,44,1,19,2,126,16
3/10/19,610,33,1,53,140,18,75,7,15,30,1,1,24,43,4,44,5,14,1,118,13
3/11/19,698,39,0,57,127,21,63,4,21,56,0,2,34,41,7,52,6,20,6,163,15
3/12/19,625,21,1,46,103,17,73,2,21,55,1,4,18,41,7,44,7,13,3,155,11
3/13/19,688,35,0,74,132,17,71,3,16,46,1,6,21,38,8,53,10,18,2,152,13
3/14/19,674,33,3,62,124,28,64,0,19,62,3,3,28,44,4,51,5,10,4,135,19
3/15/19,735,35,3,68,136,31,73,2,14,55,1,4,37,53,6,45,5,10,4,163,22
3/16/19,765,36,2,61,198,20,73,4,17,53,1,3,24,44,7,44,7,20,9,155,18
3/17/19,610,35,1,58,141,11,77,7,27,30,2,5,26,26,5,37,4,17,1,116,17
3/18/19,650,31,1,64,139,25,70,4,15,44,1,3,19,42,7,42,3,15,2,141,8
3/19/19,637,40,0,61,128,25,57,5,17,45,0,4,12,46,6,36,5,14,2,149,19
3/20/19,689,38,1,54,102,30,70,3,21,64,0,3,22,45,10,58,3,17,4,160,16
3/21/19,688,32,1,59,140,15,65,3,21,41,0,2,22,39,4,48,5,22,2,174,17
3/22/19,706,33,2,48,137,33,64,4,15,52,2,2,15,56,8,47,5,18,2,178,14
3/23/19,690,45,2,50,161,15,74,3,12,38,2,4,21,44,8,40,3,14,4,162,24
3/24/19,648,33,0,57,144,21,74,5,15,33,2,3,22,32,5,43,2,22,4,144,17
3/25/19,638,34,1,55,114,25,57,2,11,52,1,3,21,47,9,57,4,12,5,148,12
3/26/19,672,34,0,50,114,35,76,2,13,57,2,2,21,46,6,45,7,18,2,158,15
3/27/19,694,53,1,66,133,37,76,7,17,59,1,3,15,42,1,49,6,14,6,134,23
3/28/19,682,40,1,71,147,22,52,2,14,53,3,3,23,43,9,47,3,14,3,152,17
3/29/19,673,34,1,46,139,16,72,5,20,49,3,1,27,49,6,40,4,15,2,159,13
3/30/19,664,38,1,56,134,15,62,8,25,29,0,2,26,49,7,47,10,18,1,141,21
3/31/19,634,44,1,41,168,19,62,3,18,30,2,3,22,39,3,47,4,10,3,133,24
